id,name_zh,name_en,index_year,cluster,dynasty_zh,bureau_type,bureau_zh,is_high_official,has_civil_exam,has_yin_privilege,has_recommendation,has_technical_exam,has_geo,x_coord,y_coord,addr_name_chn,bureau_astronomical,bureau_medical,bureau_hydraulic,bureau_military_industrial,bureau_construction,degree,clustering,eigenvector,betweenness,degree_z,clustering_z,eigenvector_z,betweenness_z,x_coord_z,y_coord_z
52639,顏衎,Yan Kan,889,cluster1_song_and_before,宋,works_general,工部,0,0,0,0,0,1,116.986059,35.597553,曲阜,0,0,0,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,0.198380881126537,1.070753679133864
52691,豐有孚,Feng Youfu,1017,cluster1_song_and_before,宋,works_general,工部,0,0,0,0,0,1,119.44429016,32.206489563,丹徒,0,0,0,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,0.7474429356548823,0.11685863770351972
52842,羅致恭,Luo Zhigong,983,cluster1_song_and_before,宋,works_general,工部,0,0,0,0,0,1,103.923309,30.579893,雙流,0,0,0,0,0,12,1.0,0.004422771916654614,0.0,-0.19652821259424366,1.5173807213961439,-0.12606085002024975,-0.15247069472655322,-2.7192700174122924,-0.3406976494846697
52899,蘇畋,Su Tian,1012,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,119.321577,26.073954,閩縣,0,0,0,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,0.7200341464231732,-1.6082035363371199
53966,鄭信陵,Zheng Xinling,981,cluster1_song_and_before,宋,works_general,工部,0,0,0,0,0,0,,,,0,0,0,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,-3.174087617753835e-15,-1.9987334503111837e-15
53995,許祐身,Xu Youshen,1850,cluster3_qing_after,清,hydraulic,水利/河道,0,1,0,0,0,1,120.16862488,30.294124603,仁和,0,0,1,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,0.9092278466920588,-0.4210833638660419
54021,茹棻,Ru Fen,1755,cluster3_qing_after,清,works_general,工部,0,1,0,0,0,1,120.57826233,30.004514694,會稽,0,0,0,0,0,1,0.0,3.7056323637843556e-36,0.0,-0.44412113313484536,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,1.0007230581955837,-0.5025496829947078
54104,翁同龢,Weng Tonghe,1830,cluster3_qing_after,清,works_general,工部,0,1,0,0,0,1,120.733788,31.646582,常熟,0,0,0,0,0,4,0.5,5.871878071872234e-30,1.914202874877491e-06,-0.3765957911692267,0.2893300630134553,-0.3886753035554917,-0.1510277509086291,1.0354607367717918,-0.040641526456649514
54146,徐人龍,Xu Renlong,1586,cluster2_yuan_ming,明,works_general,工部,0,1,0,0,0,1,120.97358704,29.952653885,上虞,0,0,0,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,1.0890214253346697,-0.5171379587579686
54228,徐旭齡,Xu Xuling,1630,cluster2_yuan_ming,清,works_general,工部,0,1,0,0,0,1,120.16862488,30.294124603,錢塘,0,0,0,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,0.9092278466920588,-0.4210833638660419
