source,target,weight
122198,129885,1
122637,133370,1
124068,126299,1
124068,127627,1
124068,129979,1
124068,131066,1
124068,207062,1
124308,124967,1
124308,131392,1
124733,129935,1
124733,131106,1
124734,132680,1
124804,131392,1
124804,132680,1
124886,130150,1
124891,125185,1
124891,126387,1
124891,130150,1
124891,132768,1
124967,125336,1
124967,125694,1
124967,126299,1
124967,128797,1
124967,207062,1
125077,578729,1
125136,127385,1
125136,131106,1
125136,132583,1
125163,131106,1
125185,131720,1
125309,129768,1
125309,130144,1
125309,130195,1
126299,128441,1
126299,131392,1
126387,127166,1
126387,130719,1
126387,206740,1
126692,282018,1
127166,132583,1
127192,128441,1
127192,131392,1
127467,200449,1
127467,258078,1
127541,131724,1
127625,128441,1
127906,131243,1
127906,131720,1
128233,298672,1
128301,133718,1
128441,128945,1
128441,207182,1
129408,264201,1
130144,132583,1
130150,131229,1
130195,130204,1
130733,131392,1
130733,370734,1
131106,132583,1
131229,132583,1
131285,131392,1
131352,133408,1
131352,694852,1
131392,131724,1
131392,132642,1
131392,132680,1
131392,133281,1
131392,207057,1
131392,207080,1
131392,207183,1
131392,207222,1
131392,207715,1
131720,133425,1
131720,294567,1
131967,330535,1
131967,363519,1
132570,240649,1
132583,132917,1
132583,133063,1
132583,202727,1
132724,222143,1
133691,133692,1
145621,156830,1
163926,163927,1
200449,258078,1
200601,260290,1
201228,269125,1
202762,224589,1
202804,225844,1
204208,224589,1
204235,316401,1
207713,234365,1
224589,375283,1
292584,292592,1
349683,562792,1
357730,554900,1
699428,699468,1
699791,699794,1
