mpnet_id,id,name_zh,cluster,degree,betweenness,clustering,eigenvector,cluster1_song_and_before,cluster2_yuan_ming,cluster3_qing_after
668,13376,鄭建中,cluster1_song_and_before,14,2.3622889413465617e-07,0.9340659340659341,0.004747566216948657,1,0,0
669,13378,鄭獬,cluster1_song_and_before,131,0.001672505228130127,0.5260129183793306,0.06193638494411367,1,0,0
670,13406,傅瑩,cluster1_song_and_before,5,0.00017200749578817422,0.3,0.0009493421045464953,1,0,0
671,13477,王佐,cluster1_song_and_before,156,0.0020027763158584236,0.4098428453267163,0.05163123211247722,1,0,0
672,13485,史綸,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
673,13513,高元常,cluster1_song_and_before,16,0.0,1.0,0.006524209550389283,1,0,0
674,13518,晁仲熙,cluster1_song_and_before,18,1.3859191439543872e-06,0.8954248366013072,0.007628933471013014,1,0,0
675,13554,李定,cluster1_song_and_before,1,0.0,0.0,0.0006897721631652245,1,0,0
676,13573,張方回,cluster1_song_and_before,4,0.0,0.6666666666666666,0.001718433590962667,1,0,0
677,13583,高文虎,cluster1_song_and_before,21,3.270735455426322e-05,0.5238095238095238,0.007575107027342263,1,0,0
678,13606,張子憲,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
679,13612,張恕,cluster1_song_and_before,84,7.920563708621676e-05,0.6061388410786002,0.040475178251080816,1,0,0
680,13674,張師錫,cluster1_song_and_before,13,2.0443283834238984e-05,0.5641025641025641,0.004394247384482988,1,0,0
681,13675,張師皋,cluster1_song_and_before,7,0.0,1.0,0.0009312190168803625,1,0,0
682,13712,張哿,cluster1_song_and_before,19,3.765936146306793e-06,0.7251461988304093,0.008195257233609116,1,0,0
683,13809,吳泳,cluster1_song_and_before,56,8.77900068281552e-05,0.6006493506493507,0.0191138023637791,1,0,0
684,13810,度正,cluster1_song_and_before,122,0.0001824656589186446,0.4231133992683918,0.046731726649456205,1,0,0
685,13845,高定子,cluster1_song_and_before,55,0.0003099463160887675,0.6168350168350168,0.017433226878027105,1,0,0
686,13855,魏克愚,cluster1_song_and_before,39,1.0247477360132748e-06,0.9554655870445344,0.016081875284510657,1,0,0
687,13919,張嶠,cluster1_song_and_before,1,0.0,0.0,1.2188458951276695e-06,1,0,0
688,13940,朱晞顏,cluster1_song_and_before,64,4.947071081819378e-05,0.8139880952380952,0.030702083810468815,1,0,0
689,13963,張堯封,cluster1_song_and_before,8,4.3046749482101514e-07,0.5714285714285714,0.0037165728900714866,1,0,0
690,13972,張唐卿,cluster1_song_and_before,33,1.2453393672070665e-06,0.884469696969697,0.013522692288561698,1,0,0
