source,target,weight
79,211,2
79,217,1
79,283,1
79,301,1
79,345,2
79,375,2
79,420,1
79,559,5
79,561,2
79,562,1
79,586,1
79,628,3
79,629,1
79,630,2
79,634,3
79,636,1
79,716,1
79,728,2
79,818,1
79,840,1
79,843,1
79,859,1
79,962,1
79,971,1
79,1005,1
79,1092,1
79,1144,3
79,1178,1
79,1195,3
79,1306,1
79,1309,4
79,1314,3
79,1326,1
79,1366,1
79,1388,3
79,1408,1
79,1414,1
79,1450,1
79,1453,2
79,1488,4
79,1491,1
79,1555,1
79,1571,1
79,1591,1
79,1615,1
79,1635,1
79,1730,1
79,1746,1
79,1762,6
79,1767,1
79,1789,2
79,1821,1
79,1828,1
79,1840,2
79,1867,1
79,1881,1
79,1891,1
79,2007,1
79,2022,3
79,2032,1
79,2081,1
79,2112,1
79,3364,1
79,3484,3
79,3501,1
79,3522,1
79,3591,1
79,3709,1
79,3718,1
79,3725,1
79,3997,1
79,4001,3
79,7059,2
79,7126,1
79,7179,1
79,7308,1
79,7391,1
79,8116,3
79,8160,1
79,10061,1
79,10226,1
79,10231,1
79,10304,1
79,10565,4
79,10566,3
79,10759,1
79,10890,1
79,10892,1
79,11372,3
79,11404,1
79,11450,1
79,11800,1
79,12013,2
79,12978,1
79,13279,1
79,13477,1
79,13612,1
79,13810,1
79,14103,1
79,14209,1
79,14445,1
79,14913,1
79,14973,1
79,15155,1
79,15501,1
79,16504,1
79,16667,1
79,16720,1
79,16745,1
79,17100,1
79,18395,1
79,18399,1
79,18480,1
79,18946,1
79,19322,1
79,19597,1
79,19699,4
79,19880,1
79,21169,1
79,21561,1
79,25209,1
79,26151,1
79,27761,1
79,34020,1
79,34100,1
79,40928,1
79,42063,1
79,45753,1
79,47457,1
79,49974,1
79,68454,1
93,217,1
93,628,1
93,630,1
93,911,1
93,953,1
93,962,1
93,971,1
93,1086,1
93,1464,1
93,1555,1
93,1571,1
93,1635,1
93,1722,1
93,1730,1
93,1829,1
93,1885,1
93,2032,1
93,2112,1
93,3709,1
93,3997,1
93,8116,2
93,11612,2
93,12941,1
93,13243,1
93,13360,1
93,16667,1
93,18246,1
93,18574,1
93,21237,2
93,21637,1
93,26373,1
93,26376,1
93,45885,1
93,46425,1
94,332,1
94,628,1
94,630,1
94,1309,1
94,1488,1
94,1762,1
94,2112,1
94,3047,1
94,12951,1
94,13360,1
98,99,8
98,116,2
98,118,1
98,128,1
98,200,1
98,213,1
98,217,3
98,223,2
98,237,1
98,245,1
98,257,1
98,295,1
98,299,1
98,301,1
98,315,1
98,318,1
98,325,1
98,427,1
98,487,1
98,531,1
98,559,2
98,561,1
98,562,1
98,586,1
98,589,1
98,593,3
98,628,3
98,630,4
98,636,1
98,664,1
98,685,1
98,770,1
98,780,1
98,784,1
98,797,1
98,826,1
98,832,1
98,859,1
98,874,1
98,911,2
98,942,1
98,1005,1
98,1006,1
98,1036,1
98,1048,1
98,1079,1
98,1092,1
98,1096,2
98,1207,1
98,1225,1
98,1230,1
98,1309,2
98,1314,2
98,1316,1
98,1361,1
98,1385,1
98,1391,1
98,1405,1
98,1408,1
98,1414,1
98,1450,1
98,1455,1
98,1464,2
98,1486,1
98,1488,7
98,1489,1
98,1490,1
98,1502,1
98,1558,2
98,1571,2
98,1615,2
98,1617,2
98,1635,1
98,1661,1
98,1722,2
98,1730,3
98,1732,2
98,1762,5
98,1773,1
98,1804,1
98,1821,1
98,1828,1
98,1835,1
98,1844,2
98,1847,2
98,1875,1
98,1877,2
98,1881,1
98,1895,1
98,1967,1
98,2022,1
98,2036,1
98,2082,1
98,2123,2
98,3080,1
98,3194,1
98,3273,1
98,3395,1
98,3484,1
98,3528,1
98,3700,1
98,3718,1
98,3829,1
98,3941,3
98,3977,1
98,4001,2
98,4124,1
98,4175,1
98,7053,1
98,7059,1
98,7068,2
98,7097,1
98,7108,1
98,7109,1
98,7214,1
98,7239,1
98,7308,1
98,8006,2
98,8016,1
98,8049,2
98,8072,1
98,8104,1
98,8109,1
98,8116,4
98,8150,1
98,8153,1
98,8165,2
98,10566,2
98,10681,2
98,11135,1
98,11701,1
98,12319,2
98,13105,1
98,13378,1
98,14043,2
98,14209,1
98,14223,1
98,14386,1
98,15598,1
98,16098,1
98,16173,1
98,16745,1
98,17743,1
98,18257,1
98,18268,1
98,18731,1
98,18734,1
98,18735,1
98,19149,2
98,19699,1
98,19832,1
98,20221,3
98,20268,1
98,20604,1
98,21226,1
98,21274,1
98,21796,1
98,27007,1
98,27761,2
98,39847,1
98,40998,1
98,41028,1
98,45685,2
98,45753,1
98,46966,1
98,54942,1
98,699695,1
99,116,1
99,213,1
99,217,2
99,223,1
99,237,1
99,299,1
99,325,1
99,487,1
99,512,1
99,559,1
99,562,1
99,628,1
99,630,1
99,826,1
99,942,1
99,1005,1
99,1006,1
99,1225,1
99,1230,1
99,1309,1
99,1314,1
99,1391,1
99,1393,1
99,1405,1
99,1408,1
99,1464,1
99,1486,1
99,1488,5
99,1558,2
99,1571,1
99,1595,2
99,1615,1
99,1695,1
99,1696,1
99,1698,1
99,1762,4
99,1776,1
99,1835,1
99,1844,1
99,1847,1
99,1875,1
99,1882,1
99,2007,1
99,2022,1
99,2082,1
99,2123,1
99,3080,1
99,3107,1
99,3395,1
99,3700,1
99,3718,1
99,3977,1
99,4001,1
99,4175,1
99,7053,1
99,7109,1
99,8104,1
99,8165,1
99,11135,1
99,11753,1
99,12681,1
99,14209,1
99,14223,1
99,14224,1
99,14310,1
99,17743,1
99,19149,1
99,20221,4
99,21226,1
99,21679,1
99,22250,1
99,22754,1
99,27761,1
116,118,1
116,213,1
116,217,2
116,223,2
116,237,1
116,279,1
116,295,1
116,299,2
116,318,1
116,487,1
116,559,2
116,562,1
116,621,1
116,628,2
116,630,3
116,636,2
116,642,1
116,664,1
116,685,1
116,698,1
116,770,1
116,797,2
116,832,1
116,911,1
116,942,1
116,987,1
116,1006,1
116,1048,1
116,1079,1
116,1092,2
116,1096,1
116,1207,1
116,1225,1
116,1230,1
116,1274,1
116,1309,1
116,1314,2
116,1316,1
116,1361,1
116,1385,1
116,1391,1
116,1405,1
116,1408,1
116,1450,1
116,1455,1
116,1464,1
116,1486,1
116,1488,2
116,1489,1
116,1558,4
116,1571,2
116,1615,1
116,1617,1
116,1634,1
116,1635,1
116,1653,1
116,1661,1
116,1722,1
116,1730,2
116,1762,3
116,1828,2
116,1835,1
116,1844,2
116,1847,3
116,1877,1
116,1881,2
116,1895,1
116,1954,1
116,1967,1
116,2022,1
116,2036,1
116,2082,1
116,2123,2
116,3484,1
116,3528,1
116,3700,1
116,3718,1
116,3829,1
116,3941,1
116,3957,1
116,3977,1
116,4001,2
116,4124,1
116,4175,1
116,7053,1
116,7059,1
116,7068,1
116,7108,1
116,7109,1
116,7239,1
116,7308,1
116,7358,1
116,8006,1
116,8049,1
116,8116,2
116,8153,1
116,8165,2
116,10566,1
116,10681,1
116,11135,1
116,12319,1
116,13612,1
116,14043,1
116,14386,1
116,15884,1
116,16173,1
116,17743,1
116,18268,1
116,18731,1
116,18734,1
116,18735,1
116,19149,1
116,19611,1
116,20221,2
116,20498,1
116,20604,1
116,21226,1
116,21274,1
116,21796,1
116,27007,1
116,27761,1
116,39847,1
116,40998,1
116,45685,1
116,45753,1
116,46966,1
117,118,1
117,122,1
117,128,1
117,211,1
117,373,1
117,1314,1
117,1366,1
117,1488,1
117,1762,2
117,1807,1
117,1872,1
117,2058,1
117,3107,1
117,3114,1
117,3395,1
117,3933,1
117,4001,1
117,10164,1
117,10565,1
117,10566,1
117,14103,1
117,15773,1
117,22849,1
117,62505,1
117,67733,1
117,67777,1
117,129408,1
117,132008,1
118,122,2
118,128,1
118,145,1
118,185,1
118,217,2
118,223,1
118,245,1
118,267,1
118,295,1
118,318,1
118,332,1
118,345,1
118,375,1
118,559,2
118,561,1
118,628,2
118,630,2
118,634,2
118,636,2
118,664,2
118,685,1
118,718,1
118,728,1
118,770,2
118,797,1
118,832,1
118,911,2
118,941,1
118,964,1
118,971,1
118,1024,1
118,1048,2
118,1092,1
118,1195,1
118,1201,1
118,1207,1
118,1236,1
118,1309,3
118,1314,3
118,1316,2
118,1326,2
118,1361,2
118,1385,1
118,1391,1
118,1414,1
118,1443,1
118,1450,1
118,1453,1
118,1455,1
118,1464,1
118,1488,3
118,1489,2
118,1531,1
118,1558,1
118,1571,3
118,1617,2
118,1635,2
118,1722,2
118,1730,1
118,1762,1
118,1767,1
118,1789,1
118,1828,1
118,1844,1
118,1847,2
118,1867,1
118,1877,1
118,1881,1
118,1895,1
118,1957,1
118,1967,1
118,2007,1
118,2026,1
118,2032,1
118,2036,1
118,2081,1
118,2112,1
118,2123,1
118,3013,1
118,3107,1
118,3114,1
118,3307,1
118,3484,2
118,3505,1
118,3528,1
118,3709,1
118,3739,1
118,3829,1
118,3874,1
118,3941,2
118,4001,2
118,4124,1
118,7053,1
118,7059,1
118,7068,1
118,7099,1
118,7108,1
118,7239,2
118,7240,1
118,7308,1
118,7323,1
118,7391,1
118,8006,1
118,8016,1
118,8033,1
118,8049,1
118,8109,1
118,8116,2
118,8153,1
118,8165,1
118,10178,1
118,10565,1
118,10566,2
118,10681,1
118,11135,1
118,11247,1
118,11337,1
118,12319,2
118,13378,1
118,14043,1
118,14074,1
118,14209,1
118,14386,1
118,15155,1
118,15598,1
118,15773,1
118,16173,2
118,16667,1
118,17517,1
118,18268,2
118,18395,1
118,18399,1
118,18644,1
118,18731,1
118,18734,1
118,18735,1
118,19611,1
118,20604,1
118,20849,1
118,21274,1
118,21429,1
118,21796,1
118,22199,1
118,25459,1
118,26518,1
118,27007,1
118,27078,1
118,27761,1
118,27762,1
118,34020,1
118,34100,1
118,40169,1
118,40998,1
118,42396,1
118,45682,1
118,45685,1
118,45753,2
118,45771,1
118,46966,1
118,62505,1
118,67733,1
118,67777,1
118,129408,1
118,132008,1
122,128,1
122,145,1
122,172,1
122,217,1
122,245,1
122,267,2
122,315,1
122,332,1
122,375,2
122,559,1
122,628,1
122,636,1
122,664,1
122,718,1
122,728,1
122,770,1
122,853,1
122,911,1
122,941,1
122,964,1
122,971,3
122,1024,1
122,1048,1
122,1086,1
122,1201,1
122,1236,1
122,1309,1
122,1314,3
122,1316,1
122,1326,1
122,1361,1
122,1414,1
122,1443,1
122,1453,2
122,1488,1
122,1489,1
122,1531,2
122,1555,1
122,1571,2
122,1617,2
122,1635,1
122,1722,1
122,1730,1
122,1762,3
122,1835,1
122,1844,1
122,1847,1
122,1882,1
122,1957,1
122,2007,1
122,2026,1
122,2032,1
122,2082,1
122,2112,1
122,3013,1
122,3107,1
122,3114,1
122,3307,1
122,3374,1
122,3381,1
122,3484,2
122,3505,1
122,3590,1
122,3739,1
122,3941,1
122,4001,1
122,4042,3
122,4153,1
122,7053,1
122,7099,1
122,7121,1
122,7239,1
122,7240,1
122,7288,1
122,7323,2
122,8016,1
122,8033,1
122,8109,1
122,8116,2
122,10178,1
122,10565,1
122,10566,1
122,11135,1
122,11247,1
122,11337,1
122,11372,1
122,12319,1
122,13378,1
122,14043,1
122,14074,1
122,15289,1
122,15353,1
122,15773,1
122,15849,1
122,16173,1
122,16667,2
122,17517,1
122,18165,1
122,18268,1
122,18644,1
122,19611,1
122,20849,1
122,21429,1
122,21685,1
122,22199,1
122,22865,1
122,25459,1
122,27078,2
122,27762,1
122,37916,1
122,40169,1
122,40408,1
122,42396,1
122,42415,1
122,42652,1
122,45682,1
122,45771,1
122,46289,1
122,47517,1
122,48675,1
122,51096,1
122,62505,1
122,67733,1
122,67777,1
122,129408,1
122,132008,1
123,217,1
123,375,1
123,630,1
123,634,1
123,1306,1
123,1314,1
123,1315,1
123,1316,1
123,1558,1
123,1762,3
123,3107,1
123,3114,1
123,7120,1
123,12319,1
123,700146,1
128,145,1
128,150,2
128,174,2
128,211,3
128,252,1
128,279,1
128,332,1
128,334,1
128,375,1
128,380,1
128,405,2
128,420,1
128,427,1
128,456,1
128,559,1
128,628,1
128,630,1
128,636,1
128,642,1
128,656,1
128,780,2
128,793,1
128,826,1
128,859,1
